userid,follower_count,following_count,account_creation_date,year,,,total number of users,1674,,,,,,
2882331822,79152,22607,10/29/14,2014,,,,,,,,,,
a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,2748,265,6/15/16,2016,,,,,,,,,,
c59c83796e1eff713d2dd97dd1b5967b22d513f79f7edb7942a0462b956dfd0b,91,297,12/19/13,2013,,,,,,,,,,
2571870453,21265,10305,5/30/14,2014,,,avg followers,avg following,,meadian followers,,,,
2943515140,13358,13851,12/27/14,2014,,,1942,1232,,125,,,,
9bca1b664322b3b2ccc17b3e29d9f7ea2a9bd5f05a35be40afeefc7801e5e573,1740,1787,5/16/14,2014,,,,,,,,,,
2495567768,22688,8375,5/15/14,2014,,,,,,,,,,
ddfd06b8f6b4181acba40f0858d321d7621f13f6b7898e9bfc2396071db5f241,1044,1003,6/18/13,2013,,,,,,,,,,
2753146444,19351,8207,8/28/14,2014,,,,,,,,,,
10f62eab6984a76b343b1034db3fe283d4e2b8ccc37afe7555ef999116c477e2,52,108,3/10/14,2014,,,,,,,,,,
2743327187,40762,14404,8/15/14,2014,,,,,year,2013,2014,2015,2016,2017
88669ad69e40d7c199af91e8107f1e0e7988d377d2e41fff77182bf42f31a1ed,1063,981,8/20/13,2013,,,,,number,589,819,154,47,33
2530830345,35988,11010,5/5/14,2014,,,,,% of total,35%,49%,9%,3%,2%
06dd583d55075eb926897ef48a2415afc1776718c86b6ac5482e086a0e6d75d2,82,91,5/15/14,2014,,,,,,,,,,
6dc57ed9fced1deabfd6ae192033ca518e93a6a6102b93abadc1536736009719,691,644,6/5/14,2014,,,,,,,,,,
306fa811b7752ad7737c5acd42395e999e5a8fb72a3a83ff2c983f86e5ee8d8b,384,1876,8/4/17,2017,,,,,,,,,,
0b618736b1efd919d8dd9217e918bcbf1570dfb4122b461299494ccb02226503,60,86,4/3/14,2014,,,,,,,,,,
2570631118,36094,20288,5/29/14,2014,,,,,,,,,,
481aeac8d54131a7639c1bae2fd6089284c5f4d3c2e5c224a1abedea1a8e84ba,76,6,6/11/15,2015,,,,,,,,,,
2624554209,26391,10081,6/20/14,2014,,,,,,,,,,
a4df865b62425d5eb91b169b0bbb873434078a44b193174962a65408ed66d793,1196,949,8/17/13,2013,,,,,,,,,,
3fb378539e01fe68efd1251da36d22ccda3260a84474931c902e4de3e160d5a4,785,522,6/15/13,2013,,,,,,,,,,
efbb959a308f1bd1199a15221511bdd9e8945a3a02da83ce9d6585224733a8f6,840,373,8/7/13,2013,,,,,,,,,,
8441ac7f511f45bbb95045f607be33902865e2e9c0ed14b125792804c1e1f7e8,638,532,6/13/14,2014,,,,,,,,,,
8e58ab0f46d273103d9e71aa92cdaffb6e330ec7d15ae5fa79c825e2d6f291bf,881,834,9/16/13,2013,,,,,,,,,,
2591847731,18560,7276,6/8/14,2014,,,,,,,,,,
919aaa7f93c0dd791e54caa89b6213199d9a0f4d46531c3b7f046ad1b735cd9b,57,70,4/1/14,2014,,,,,,,,,,
cd0e6a3af6160a511a2cea1bda54113ea9ba8ba27b70575e4d3612c6074c342b,1023,1120,7/24/13,2013,,,,,,,,,,
1fdac06ebb156f54ed03ca124d7faa8638dff2e7229910e4b52c0149b18dd7f0,1597,1842,8/11/13,2013,,,,,,,,,,
2370083fc399bf88145e9af3c1219c3117b3befa8d77be3fbbc3f2cc827857ef,100,105,8/25/13,2013,,,,,,,,,,
77df270573c1e72913ad2b397187924c082cc9bae69a7bf06bfc96b93e8065c4,3901,208,5/3/14,2014,,,,,,,,,,
09c3b6feef2625474374066b50ebc77942a667bdfa14c7d17d2f209a501fd79b,27,154,8/27/14,2014,,,,,,,,,,
3899481526,35122,9500,10/8/15,2015,,,,,,,,,,
566e45ac92c91b4ef5d8b96bd86b67f18534e4bd2ca92476d3475b1d78a7ed3a,2177,1183,8/6/13,2013,,,,,,,,,,
2628066159,22823,5483,6/21/14,2014,,,,,,,,,,
1718000594,5323,4171,9/1/13,2013,,,,,,,,,,
e8e7c2bfdb7272a4a7db5dfcbb01627222d934054e99469baba6a2fe5edb9f92,841,757,8/19/13,2013,,,,,,,,,,
2587474264,13481,7724,6/6/14,2014,,,,,,,,,,
bc52f7a091e464b1928f340c978a264354ca3f96c6e181e1b6b0834acd86d844,3307,2814,6/18/14,2014,,,,,,,,,,
60f0b63e612aa72961a991ed83ad3318ccaa22f9c343ea79bb199e364cf75867,486,5,6/22/15,2015,,,,,,,,,,
2573225349,5116,4136,5/31/14,2014,,,,,,,,,,
42b1db6e926b76ee4358142b447f203e508a1161341a77c4a13637fe724e7f99,102,127,8/17/13,2013,,,,,,,,,,
2951506251,12357,8501,12/30/14,2014,,,,,,,,,,
96ff2173054214e41eb4daec0f0fa0a97f7cba31e7d6f3a085691d394e0bafd2,47,16,5/8/14,2014,,,,,,,,,,
2570017414,22212,8953,5/29/14,2014,,,,,,,,,,
f269aec1e4d51a321d089378f4011156d253c0a0b50bdc5e93e43a15f49b7358,76,351,8/28/14,2014,,,,,,,,,,
3438999494,10518,8924,9/3/15,2015,,,,,,,,,,
819a70950d1055f5a541a7bbf42b9be7bcf6a06dd77303d727578daae365590e,1213,1617,8/28/14,2014,,,,,,,,,,
0ba7b20ac6f6508ed2189050961f219b62ab06da5ed1aaf089f6a599844ca370,13,0,6/12/15,2015,,,,,,,,,,
ecca3b87af773ebc9e625835243979fdba222f78b250f7ec70d17aabd9b9da26,3708,3414,7/3/14,2014,,,,,,,,,,
f2215826ea0408c582fae99a4d27cfa5c91e43b92789e33f2e4c12d75d1fa2ff,2147,3489,8/26/17,2017,,,,,,,,,,
2611151319,25263,10975,6/15/14,2014,,,,,,,,,,
74c5eb30de3d6691e150879ee8528463c70b0feaefed9766fcbbcc8b2458221a,965,597,8/21/13,2013,,,,,,,,,,
c5a4c57fc616d4bce77ed8f531708fce96789f928a2dd88fede37d205f8eb733,2770,2115,6/16/14,2014,,,,,,,,,,
047387a8053194be8e31ed1d3b99e93fa80944e0d60e62b52212501d30caef2d,18,126,6/22/14,2014,,,,,,,,,,
11b2a99966def750bb3e9a4b52d46826cec464aefefecfb792c3b0da7e2d2be7,915,766,8/19/13,2013,,,,,,,,,,
63df8aabe784aebc5674b36a34c14dae77bfaa89e1d9bafa5a485ed32f6e2834,2229,2737,7/4/14,2014,,,,,,,,,,
c7b1bacb73f0f3025dc09452d99b1abb22a5ce7aa0a649330f3820de07f2ecde,1071,857,8/26/13,2013,,,,,,,,,,
3c46bd68165bb49be66c657de7f09b1cbd130e65934abd29f5aec28e2a86d43d,1018,1255,8/7/13,2013,,,,,,,,,,
2753338899,25528,7904,8/28/14,2014,,,,,,,,,,
dce04b9807276c27a04ad521e37f061bcdfc8bc46cc6dc3d47128b263bd61124,1809,1820,8/10/13,2013,,,,,,,,,,
afed0b035e8f3d190a84b72ba0567013d2650f83a85907826990e66aed315eb5,695,483,9/14/13,2013,,,,,,,,,,
aacff3990c798063b89807b9e0f7bebf225930adaca5a7af6a67151b47a0ad3a,4613,3827,6/3/14,2014,,,,,,,,,,
e3e600eec5fae6f4bb6e40bec6c9b04d50313bbddf6d7b186575593fa1e5d4d0,1162,1158,5/31/14,2014,,,,,,,,,,
2742482932,5328,4282,8/14/14,2014,,,,,,,,,,
de0027ca81d78bb8666954f3aae5f5b2976dbb7b33d48f5ddcfaa97f1ccd7ef9,23,46,6/5/14,2014,,,,,,,,,,
23dde95f6135ab333fab997ea397603ddf208d1f91a43846f0a162581949fa0c,3621,4547,3/10/15,2015,,,,,,,,,,
2882037326,24920,12434,10/29/14,2014,,,,,,,,,,
ec2e65bed61d59328fea161c2c6a2ff491949cec8abb73e9cf1ee901bf99544a,66,323,5/30/14,2014,,,,,,,,,,
beb24c4d724cb8a986f15f48e11895e7e3484598a54af5a0fef356ceb3641193,1233,943,8/31/13,2013,,,,,,,,,,
cfe9315d7429aedb7f843a165185d91f0ae819e54026d8a22a4f6e539f5e9132,1009,879,9/7/13,2013,,,,,,,,,,
7226285d12785bc40c739926d3a615608f07716d59144b28771b2906f114f34d,144,301,6/16/13,2013,,,,,,,,,,
2675966513,24696,7388,7/5/14,2014,,,,,,,,,,
db6aefaeb21a23d7ba8215ddd1270cba78e060f54d2ec16f5f88293db68a010b,54,5,3/9/14,2014,,,,,,,,,,
6bc894a47ce6d129977d728eaa91c21385129076a10879fb0b2e64390ef0faeb,2299,2264,6/10/13,2013,,,,,,,,,,
1687183549,21098,8599,8/21/13,2013,,,,,,,,,,
65dfa76ff80afb2f3cd92a8d96fcdb049b52dfe537c8e42cd6473029ba6f8152,4223,3397,8/6/13,2013,,,,,,,,,,
e4becad972137c1c7c289880be9aef5f4b36023d1251a7cc844a7f16aaea3ac6,16,137,6/22/14,2014,,,,,,,,,,
d225180304e4fafe5af936306b254e2cf5f2a950d6947f94c6ab44f7d51e2606,902,894,7/25/13,2013,,,,,,,,,,
3978316814,20019,14112,10/22/15,2015,,,,,,,,,,
2912754262,32347,21336,12/9/14,2014,,,,,,,,,,
4d8840159ff27080d2554b3432f004b35ceb59b5fb63f69adf58950097953e06,529,458,6/14/14,2014,,,,,,,,,,
9da254eb4e8a37d4e995e2bcac5030b3b5a45cb7226221ae3cd17560e22c3531,1955,1378,8/11/13,2013,,,,,,,,,,
fe224b0c73e2770146cbb65dcc10392b217d5c9b2ec625a702947d200150b2d3,137,83,8/11/13,2013,,,,,,,,,,
e35cc49080427faaf1f73e41752c5fea35a96f6c243863cd60b019661950c27e,797,769,8/20/13,2013,,,,,,,,,,
41bb9ae5991f53996752a0ab8dd36b543821abca8d5aed8980383c82378e7518,4166,3602,8/13/13,2013,,,,,,,,,,
2532611755,6709,5606,5/29/14,2014,,,,,,,,,,
8a3c0cdcac971eaf9f7802a5688faea3aadd850e5d2e214941c2ccbdcaf4ac32,959,641,8/31/13,2013,,,,,,,,,,
ec2109adb67d2a24091026d5d9aab64dadca1fdb2f7355473c9a82f988a9c2a0,2236,2189,8/23/13,2013,,,,,,,,,,
343755eff44eda8981b9e88f3ea43871f7ad11a9ff221540fca87db0572e8746,29,167,6/2/14,2014,,,,,,,,,,
45e53833a2c5989b9f758b9c1f8e692218b3fc311fb5d120a9504d7314e88970,100,128,8/9/13,2013,,,,,,,,,,
2cd644cca1a5d5e7d4d308b736269ba5cb4a75a8ad6ce46831594815a00c352a,124,243,3/21/14,2014,,,,,,,,,,
297641532edfaa64425520d0e4c19136a694d424e4378d941aa551db8f90ad29,1082,1015,8/29/13,2013,,,,,,,,,,
2944766250,20345,13575,12/27/14,2014,,,,,,,,,,
2587843805,29357,6720,6/6/14,2014,,,,,,,,,,
135b0e102c42bbb243688d6510af6d4217149acde895cb1771caa0555f3ced72,1,0,6/2/14,2014,,,,,,,,,,
3e4926039b55bcd7f2182ee1c9234fd9458adefac0b7f919ede18d8d9597b1c0,871,548,8/14/13,2013,,,,,,,,,,
828e64d4b8817f25fedf7b68088473e89640c90ea6e4dad110d1e381018d8e77,25,86,6/4/14,2014,,,,,,,,,,
2eb4d121cdbb6131133cbda9508ce35e1a7db19d09b0ea9a71a0a1e2c0a4670a,1058,4965,3/9/15,2015,,,,,,,,,,
b97e9618d72ea8118d32cda8f153485c0e7964ec709bef72a4869c1960540e03,433,741,5/31/14,2014,,,,,,,,,,
f46e654ff3f1f9697f2b94de5a2e42a6914e1f00da14a76255c9ed9ba520a5f4,4643,3521,6/7/14,2014,,,,,,,,,,
eafd6b68b8855efe312fbb60d5fde0edb8632e9c0364f5044d999b0ee58837a8,886,771,8/22/13,2013,,,,,,,,,,
7b9a8430f80fe5d371a1d2b3c18ee53cceb4d2fbeb974b7ac1be18745ebd0c1c,1051,620,8/12/13,2013,,,,,,,,,,
e9e55093f99066a1802191d1dd7e43661a118501b7e0ed75cee9cb7803709ae6,2866,2824,5/29/14,2014,,,,,,,,,,
fde230643125950bccce743024f20fedababd6aa5e00791bfa35543b9ed37169,2018,1952,3/10/15,2015,,,,,,,,,,
fb6f6cc1a31b47965d9894b89d576add7a679a77e9022aad33d6c0c2310cd789,835,694,7/22/13,2013,,,,,,,,,,
2547141851,23595,13665,5/14/14,2014,,,,,,,,,,
b75afa30ce2d6c1e4f5d653dc0e3e17ee233a29ff425e8e23194179de56c52df,29,306,6/2/14,2014,,,,,,,,,,
75146e79e40c32b350e71225c2792acdb92fcf1ae940ee16e0327a53aabd952a,69,137,3/12/14,2014,,,,,,,,,,
94c383089f0dd9993020276bd01113ecb5935ad860bfa61e6079e7d548577f76,1541,1676,6/13/14,2014,,,,,,,,,,
396b0b6914e425ca53c49b7f1d6cfe9757eb7368c04c657a09d83b19a8f1251e,2372,2616,8/14/13,2013,,,,,,,,,,
2944944427,20718,8517,12/27/14,2014,,,,,,,,,,
446814d058a75d9f90076c02b125e5adfc64ddd544cf077ebb08e27e476b20e5,3176,2896,6/19/14,2014,,,,,,,,,,
8773aaa8badf887f0702db4c5c8fe1e45ff82e35ce867539fd26e9dbf804b27f,921,1163,8/20/13,2013,,,,,,,,,,
886da953809573c2cdcc8d4f8dba7fc9c5d290e0094252f71104c51cdbe20928,729,583,12/17/13,2013,,,,,,,,,,
4224729994,147767,74664,11/19/15,2015,,,,,,,,,,
2496599688,5373,3905,5/15/14,2014,,,,,,,,,,
4301962823,40458,29659,11/28/15,2015,,,,,,,,,,
9da2a23fdf6b698547cec94016c409cc2fe9309df09e45ac14b152edfe1f5d8e,104,109,7/24/13,2013,,,,,,,,,,
db869cae844d0785bd135d4dbca97a219364751938a945f899d590521778f081,1467,1527,6/7/14,2014,,,,,,,,,,
f8b72a3e67daa7adce161eed7ee9583f2bc80db18c39eeb3228594c433f1a934,509,796,7/12/16,2016,,,,,,,,,,
bf19c74d152b05632bd5e626342ea4ab2290e94e2937bddc42d27831d40f9aa6,433,866,8/7/13,2013,,,,,,,,,,
7ca2bb958f039d6e34c41388088e468b26c0643321b988107f2ec09feaf178de,722,332,3/17/14,2014,,,,,,,,,,
4eee95263cb731be3edd9e06a0b4bd4832f82be94820020e44e98993c24d11ac,921,898,8/17/13,2013,,,,,,,,,,
5b2be24197c3c07b247d9e77ea533a0305f656790d5ddf1fbe275d2983dd885c,53,85,5/10/14,2014,,,,,,,,,,
2494112058,20135,9313,5/14/14,2014,,,,,,,,,,
ef983249ef6ed5de427c4dc19ad6d966c6cf572c2505e44142e7e7261f917ae6,2208,2206,7/29/13,2013,,,,,,,,,,
bf5f2d1f76cdc3a49c2a13a3312f4a0b2d61781277122eaaaae6149273097725,31,252,8/28/14,2014,,,,,,,,,,
4cdd7adfbc3052f1d017feb67c1c51331ab82b7557ef43724c2710ddfbe49ede,541,1070,6/1/14,2014,,,,,,,,,,
c982f7295cf57508a8d39bae6310c9546492d4105cac8d18cc798e56f7573376,2673,3277,5/11/14,2014,,,,,,,,,,
b2959ff7976eb22301ccacaa9bcd49820d386985dd9089430fbb7dd7e38c24b8,76,128,11/22/13,2013,,,,,,,,,,
cceee527a3e3a2fa05667731a74c6858c617067f6b732033a08edf49ce2094b4,4061,3821,5/17/14,2014,,,,,,,,,,
21c35c77715644e10675df5bb88f02d40412785ace111edda73b40553db68bed,669,998,8/5/13,2013,,,,,,,,,,
04d499f6923eb7902454b7eee66701eaa4c7708743fe16ea7053dc0bec8e1be2,14,0,6/10/15,2015,,,,,,,,,,
2620614029,18011,8888,6/18/14,2014,,,,,,,,,,
4217244274,11766,6966,11/18/15,2015,,,,,,,,,,
