tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
936806246086164480,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,United States,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,https://t.co/XFnhCqCWBy,2748,265,2016-06-15,en,en,RT @SenateGOP: Senate Republicans and @POTUS @realDonaldTrump are seizing this once-in-a-generation opportunity to cut taxes for American f…,2017-12-02 03:56,Twitter for Android,,,,True,14344823,936784267220099200,absent,absent,0.0,0.0,0.0,0.0,[],[],"[14344823, 822215679726100480, 25073877]",
803317105470771200,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,United States,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,https://t.co/XFnhCqCWBy,2748,265,2016-06-15,en,en,RT @parscale: This guy has it right. @GOP @realDonaldTrump #TrumpIsComing https://t.co/ipJpoDg3Vf,2016-11-28 19:18,Twitter for Android,,,,True,17685258,800550324213784576,absent,absent,0.0,0.0,0.0,0.0,[TrumpIsComing],[https://www.newsbusters.org/blogs/nb/tom-blumer/2016/11/16/another-media-meme-destroyed-trumps-turnout-operation-was],"[17685258, 11134252, 25073877]",
783498806306361345,2928870434,Newspeak Daily,NewspeakDaily,,it's never too late to reinvent the bicycle,,5816,865,2014-12-13,en,en,Pence: Trump Immigration Plan Begins With Border Security  #politics,2016-10-05 02:47,twitterfeed,,,,False,,,absent,absent,0.0,0.0,0.0,0.0,[politics],[],,
830792371516346368,63df8aabe784aebc5674b36a34c14dae77bfaa89e1d9bafa5a485ed32f6e2834,63df8aabe784aebc5674b36a34c14dae77bfaa89e1d9bafa5a485ed32f6e2834,63df8aabe784aebc5674b36a34c14dae77bfaa89e1d9bafa5a485ed32f6e2834,USA,"Big Government=corruption, #NRA, Conservative, My Tweets=my personal opinions #GodBlessAmerica",,2229,2737,2014-07-04,en,en,RT @gerfingerpoken: Lawbreaker Rahm Emanuel Vs Trump on Sanctuary Cities - American Thinker https://t.co/UqQf8HFJTs - #MAGA #PJNET 111 http…,2017-02-12 14:55,Twitter Web Client,,,,True,96442308,830763248278343680,absent,absent,0.0,0.0,0.0,0.0,"[MAGA, PJNET]",[http://bit.ly/2ggUZDP],[96442308],
787040868595228672,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,"Kathleen Willey: Hillary is a fake feminist. A champion of women does not attack the victims of sexual assault and rape."" #WomenWhoVoteTrump https://t.co/6YWAH54Bww",2016-10-14 21:22,Twitter Web Client,,,,False,,,absent,absent,2.0,6.0,121.0,157.0,[WomenWhoVoteTrump],[],,
765936300843266048,c5a4c57fc616d4bce77ed8f531708fce96789f928a2dd88fede37d205f8eb733,c5a4c57fc616d4bce77ed8f531708fce96789f928a2dd88fede37d205f8eb733,c5a4c57fc616d4bce77ed8f531708fce96789f928a2dd88fede37d205f8eb733,USA,"If you do what you’ve always done, you’ll get what you’ve always gotten",,2770,2115,2014-06-16,en,en,RT @Booth_Prince: Hillary seen selling fake drugs in the hood #TrumpsFavoriteHeadline,2016-08-17 15:40,Twitter Web Client,,,,True,1718000594,765928442965725184,absent,absent,0.0,0.0,0.0,0.0,[TrumpsFavoriteHeadline],[],[1718000594],
857406780749430784,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,United States,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,https://t.co/XFnhCqCWBy,2748,265,2016-06-15,en,en,RT @TruthFeedNews: VIDEO : TMZ Founder Harvey Levin SLAMS LIBERALS for Criticizing his Meeting With Trump https://t.co/1rWcqGn4Ju #maga #tr…,2017-04-27 01:31,Twitter Web Client,,,,True,707278892801765377,857404760680349696,absent,absent,0.0,0.0,0.0,0.0,[maga],[http://truthfeed.com/video-tmz-founder-harvey-levin-slams-liberals-for-criticizing-his-meeting-with-trump/68484/],[707278892801765377],
828711498813960192,8a3c0cdcac971eaf9f7802a5688faea3aadd850e5d2e214941c2ccbdcaf4ac32,8a3c0cdcac971eaf9f7802a5688faea3aadd850e5d2e214941c2ccbdcaf4ac32,8a3c0cdcac971eaf9f7802a5688faea3aadd850e5d2e214941c2ccbdcaf4ac32,USA,"i aint shit now, but bitch i might be ✨ #FreeGuwop #BlackLivesALWAYSMattered",,959,641,2013-08-31,en,en,RT @_blackintellect: This is not a knock on Obama...but Trump makes Obama look like he could solve the mysteries of the universe. That how…,2017-02-06 21:06,Twitter Web Client,,,828702373812064256,True,4925073867,828703352523456512,absent,absent,0.0,0.0,0.0,0.0,[],[],[4925073867],
822907092340264960,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,"While Madonna is dropping the F bombs, @realDonaldTrump and @mike_pence families quietly and reverently attended church today https://t.co/eEjZMQkzqm",2017-01-21 20:41,Twitter Web Client,,,,False,,,absent,absent,48.0,96.0,667.0,386.0,[],[],"[22203756, 25073877]",
810245607231209472,ef983249ef6ed5de427c4dc19ad6d966c6cf572c2505e44142e7e7261f917ae6,ef983249ef6ed5de427c4dc19ad6d966c6cf572c2505e44142e7e7261f917ae6,ef983249ef6ed5de427c4dc19ad6d966c6cf572c2505e44142e7e7261f917ae6,"New York, USA",Fun-loving conservative sharing the truth that liberals can't handle. #TCOT,,2208,2206,2013-07-29,en,en,RT @politicususa: Hate Group Leader Calls on Trump to Lead Witch-Hunt of Pro-LGBT Officials https://t.co/Vwkkz1X4cD #p2 #p2b #ctl,2016-12-17 22:09,Twitter Web Client,,,,True,14792049,810243862543421440,absent,absent,0.0,0.0,0.0,0.0,"[p2, p2b, ctl]",[http://www.politicususa.com/2016/12/17/hate-group-leader-calls-trump-lead-witch-hunt-pro-lgbt-officials.html],[14792049],
